Name,Games,Rank
Walter Johnson,110,1
Grover Alexander,90,2
Christy Mathewson,79,3
Cy Young,76,4
Eddie Plank,69,5
Warren Spahn,63,6
Nolan Ryan,61,7
Tom Seaver,61,8
Bert Blyleven,60,9
Don Sutton,58,10
Pud Galvin,57,11
Ed Walsh,57,12
Bob Gibson,56,13
Mordecai Brown,55,14
Steve Carlton,55,15
Jim Palmer,53,16
Gaylord Perry,53,17
Juan Marichal,52,18
Rube Waddell,50,19
Vic Willis,50,20
Don Drysdale,49,21
Fergie Jenkins,49,22
Luis Tiant,49,23
Early Wynn,49,24
Kid Nichols,48,25
Roger Clemens,46,26
Tommy John,46,27
Jack Powell,46,28
Whitey Ford,45,29
Addie Joss,45,30
Phil Niekro,45,31
Robin Roberts,45,32
Red Ruffing,45,33
Doc White,45,34
Babe Adams,44,35
Bob Feller,44,36
Milt Pappas,43,37
Catfish Hunter,42,38
Bucky Walters,42,39
Mickey Lolich,41,40
Hippo Vaughn,41,41
Mickey Welch,41,42
Chief Bender,40,43
Jim Bunning,40,44
Larry French,40,45
Sandy Koufax,40,46
Claude Osteen,40,47
Ed Reulbach,40,48
Mel Stottlemyre,40,49
Tim Keefe,39,50
Sam Leever,39,51
Jerry Reuss,39,52
Stan Coveleski,38,53
Billy Pierce,38,54
Nap Rucker,38,55
Vida Blue,37,56
John Clarkson,37,57
Larry Jackson,37,58
Randy Johnson,37,59
Eppa Rixey,37,60
Steve Rogers,37,61
Mike Cuellar,36,62
Bob Friend,36,63
Carl Hubbell,36,64
Sad Sam Jones,36,65
Camilo Pascual,36,66
Allie Reynolds,36,67
Curt Simmons,36,68
Will White,36,69
Tommy Bond,35,70
Bullet Joe Bush,35,71
Jack Chesbro,35,72
Eddie Cicotte,35,73
Jack Coombs,35,74
Wilbur Cooper,35,75
Bill Donovan,35,76
Burleigh Grimes,35,77
Lefty Grove,35,78
Greg Maddux,35,79
George Mullin,35,80
Herb Pennock,35,81
Old Hoss Radbourn,35,82
Bill Doak,34,83
Earl Moore,34,84
Frank Tanana,34,85
Jesse Tannehill,34,86
Tommy Bridges,33,87
Lew Burdette,33,88
Dean Chance,33,89
Mort Cooper,33,90
Jerry Koosman,33,91
Lefty Leifield,33,92
Dutch Leonard,33,93
Jim McCormick,33,94
Dave McNally,33,95
Hal Newhouser,33,96
Bob Shawkey,33,97
Virgil Trucks,33,98
Paul Derringer,32,99
Joe McGinnity,32,100
Jim Perry,32,101
Ken Holtzman,31,102
Jim Kaat,31,103
Bob Lemon,31,104
Bobo Newsom,31,105
Al Orth,31,106
Ken Raffensberger,31,107
Fernando Valenzuela,31,108
Charlie Buffinton,30,109
Bob Knepper,30,110
Dutch Leonard,30,111
Jim Maloney,30,112
Rube Marquard,30,113
Dennis Martinez,30,114
Jon Matlack,30,115
Tony Mullane,30,116
Orval Overall,30,117
Amos Rusie,30,118
Dave Stieb,30,119
Lefty Tyler,30,120
Lon Warneke,30,121
Rick Wise,30,122
Red Faber,29,123
Freddie Fitzsimmons,29,124
Burt Hooton,29,125
Bill Lee,29,126
Carl Mays,29,127
Denny McLain,29,128
Ed Morris,29,129
Joe Niekro,29,130
Dazzy Vance,29,131
Johnny Vander Meer,29,132
George Bradley,28,133
Lefty Gomez,28,134
Vern Law,28,135
Jack Morris,28,136
Art Nehf,28,137
Jeff Pfeffer,28,138
Jack Quinn,28,139
Urban Shocker,28,140
Fred Toney,28,141
Dizzy Trout,28,142
Bob Welch,28,143
Gus Weyhing,28,144
Joe Wood,28,145
Jack Billingham,27,146
Murry Dickson,27,147
Cy Falkenberg,27,148
Woodie Fryman,27,149
Mike Garcia,27,150
Claude Hendrix,27,151
Ed Lopat,27,152
Ted Lyons,27,153
Andy Messersmith,27,154
Deacon Phillippe,27,155
Dick Rudolph,27,156
Hal Schumacher,27,157
Frank Smith,27,158
Jeff Tesreau,27,159
Hooks Wiltse,27,160
Red Ames,26,161
Jesse Barnes,26,162
Spud Chandler,26,163
Dizzy Dean,26,164
Ron Guidry,26,165
Waite Hoyt,26,166
Dolf Luque,26,167
Claude Passeau,26,168
Vic Raschi,26,169
Rick Reuschel,26,170
Jim Scott,26,171
Jim Whitney,26,172
Johnny Antonelli,25,173
Harry Brecheen,25,174
Larry Dierker,25,175
Red Donahue,25,176
Dick Donovan,25,177
Tom Glavine,25,178
Noodles Hahn,25,179
Mel Harder,25,180
Orel Hershiser,25,181
Tom Hughes,25,182
Sal Maglie,25,183
Lee Meadows,25,184
Howie Pollet,25,185
Slim Sallee,25,186
Rube Benton,24,187
Bob Caruthers,24,188
Curt Davis,24,189
Al Downing,24,190
Dwight Gooden,24,191
Jesse Haines,24,192
Rudy May,24,193
Don Newcombe,24,194
Johnny Podres,24,195
Reb Russell,24,196
Chris Short,24,197
Bill Singer,24,198
Bob Turley,24,199
John Ward,24,200
Wilbur Wood,24,201
Tom Zachary,24,202
Mike Caldwell,23,203
Bill Dinneen,23,204
Bruce Hurst,23,205
Dennis Leonard,23,206
Mike McCormick,23,207
Sam McDowell,23,208
Scott McGregor,23,209
Mike Mussina,23,210
Barney Pelty,23,211
Pol Perritt,23,212
Gary Peters,23,213
Togie Pittinger,23,214
Bob Porterfield,23,215
David Cone,22,216
Larry Corcoran,22,217
Ray Culp,22,218
Hooks Dauss,22,219
Joe Dobson,22,220
Chick Fraser,22,221
Clark Griffith,22,222
Bob Groom,22,223
Ed Killian,22,224
Red Lucas,22,225
Schoolboy Rowe,22,226
Mike Scott,22,227
Jim Slaton,22,228
Steve Barber,21,229
Tiny Bonham,21,230
Ray Caldwell,21,231
