Name,Base on Balls,Rank
Nolan Ryan,2795,1
Steve Carlton,1833,2
Phil Niekro,1809,3
Early Wynn,1775,4
Bob Feller,1764,5
Bobo Newsom,1732,6
Amos Rusie,1707,7
Charlie Hough,1665,8
Roger Clemens,1580,9
Gus Weyhing,1566,10
Red Ruffing,1541,11
Tom Glavine,1500,12
Randy Johnson,1497,13
Bump Hadley,1442,14
Warren Spahn,1434,15
Earl Whitehill,1431,16
Tony Mullane,1408,17
Sad Sam Jones,1396,18
Jack Morris,1390,19
Tom Seaver,1390,20
Gaylord Perry,1379,21
Bobby Witt,1375,22
Mike Torrez,1371,23
Walter Johnson,1363,24
Don Sutton,1343,25
Bob Gibson,1336,26
Chuck Finley,1332,27
Chick Fraser,1332,28
Bert Blyleven,1322,29
Sam McDowell,1312,30
Jim Palmer,1311,31
Mark Baldwin,1307,32
Adonis Terry,1298,33
Mickey Welch,1297,34
Burleigh Grimes,1295,35
Mark Langston,1289,36
Kid Nichols,1268,37
Bullet Joe Bush,1263,38
Joe Niekro,1262,39
Allie Reynolds,1261,40
Tommy John,1259,41
Frank Tanana,1255,42
Bob Lemon,1251,43
Hal Newhouser,1249,44
George Mullin,1238,45
Tim Keefe,1233,46
Cy Young,1217,47
Red Faber,1213,48
Vic Willis,1212,49
Tim Wakefield,1205,50
Theodore Breitenstein,1203,51
Brickyard Kennedy,1201,52
Jerry Koosman,1198,53
Tommy Bridges,1192,54
John Clarkson,1191,55
Lefty Grove,1187,56
Vida Blue,1185,57
Billy Pierce,1178,58
Kenny Rogers,1175,59
Dennis Martinez,1165,60
Al Leiter,1163,61
Mike Moore,1156,62
Jamie Moyer,1155,63
Jack Stivetts,1155,64
Fernando Valenzuela,1151,65
David Cone,1137,66
Bill Hutchison,1132,67
Johnny Vander Meer,1132,68
Jerry Reuss,1127,69
Ted Lyons,1121,70
Bucky Walters,1121,71
Mel Harder,1118,72
Earl Moore,1108,73
Bob Buhl,1105,74
Luis Tiant,1104,75
A.J. Burnett,1100,76
Mickey Lolich,1099,77
CC Sabathia,1099,78
Lefty Gomez,1095,79
Virgil Trucks,1088,80
Whitey Ford,1086,81
Jim Kaat,1083,82
Eppa Rixey,1082,83
Rick Sutcliffe,1081,84
Eddie Plank,1072,85
Ryan Dempster,1071,86
Camilo Pascual,1069,87
Bob Turley,1068,88
Hooks Dauss,1067,89
Livan Hernandez,1066,90
Ice Box Chamberlain,1065,91
Bert Cunningham,1064,92
Barry Zito,1064,93
Curt Simmons,1063,94
Bill Donovan,1059,95
Murry Dickson,1058,96
Jouett Meekin,1058,97
Vern Kennedy,1049,98
Dizzy Trout,1046,99
Howard Ehmke,1042,100
Wes Ferrell,1040,101
Tommy Byrne,1037,102
Red Ames,1034,103
Dave Stewart,1034,104
Dave Stieb,1034,105
Bob Welch,1034,106
Andy Pettitte,1031,107
Rube Walberg,1031,108
Jack Powell,1021,109
Bob Shawkey,1018,110
Steve Renko,1010,111
John Smoltz,1010,112
Orel Hershiser,1007,113
Jim Slaton,1004,114
Joe Coleman,1003,115
Waite Hoyt,1003,116
Jim Bunning,1000,117
Greg Maddux,999,118
Jim Perry,998,119
Fergie Jenkins,997,120
Kevin Gross,986,121
Kirby Higbe,979,122
Doyle Alexander,978,123
Johnny Klippstein,978,124
Jamey Wright,978,125
Tom Gordon,977,126
Pink Hawley,974,127
Justin Verlander,974,128
Silver King,967,129
George Uhle,966,130
Rudy May,958,131
Lee Meadows,956,132
Dwight Gooden,954,133
Catfish Hunter,954,134
Jimmy Ring,953,135
Grover Alexander,951,136
Steve Barber,950,137
Bartolo Colon,948,138
Jim Clancy,947,139
Sadie McMahon,945,140
Steve Trachsel,943,141
Claude Osteen,940,142
Mike Morgan,938,143
Rick Reuschel,935,144
Kevin Appier,933,145
Al Downing,933,146
Stan Bahnsen,924,147
Ray Sadecki,922,148
Darryl Kile,918,149
Dolf Luque,918,150
Tim Hudson,917,151
Herb Pennock,916,152
Tom Zachary,914,153
Ken Holtzman,910,154
Chan Ho Park,910,155
Andy Benes,909,156
Hideo Nomo,908,157
Ron Darling,906,158
Kid Gleason,906,159
Robin Roberts,902,160
Hal Schumacher,902,161
Kevin Brown,901,162
Mike Hampton,900,163
Miguel Batista,899,164
Carlos Zambrano,898,165
Bob Friend,894,166
Bill Lee,893,167
Jon Lester,892,168
Ed Reulbach,892,169
Bill Dietrich,890,170
Mike Flanagan,890,171
Woodie Fryman,890,172
Charlie Root,889,173
Juan Pizarro,888,174
Ed Crane,887,175
Walt Masterson,886,176
Tom Candiotti,883,177
Ned Garver,881,178
Steve Rogers,876,179
Old Hoss Radbourn,875,180
Danny Darwin,874,181
Danny MacFayden,872,182
Jesse Haines,871,183
Jeff Suppan,871,184
Van Mungo,868,185
Scott Erickson,865,186
Frank Viola,864,187
Tim Belcher,860,188
Russ Ortiz,860,189
Jack Quinn,860,190
Guy Bush,859,191
Shawn Estes,858,192
Rube Marquard,858,193
Milt Pappas,858,194
Bob Veale,858,195
Bob Knepper,857,196
Charlie Buffinton,856,197
Don Drysdale,855,198
Wilbur Cooper,853,199
Tom Hughes,853,200
Ken Hill,852,201
Dan Petry,852,202
Herm Wehmeier,852,203
Bill Doak,851,204
Joe Dobson,851,205
Mudcat Grant,849,206
Ubaldo Jimenez,848,207
Floyd Bannister,846,208
Freddie Fitzsimmons,846,209
Willis Hudlin,846,210
Christy Mathewson,844,211
Kevin Millwood,843,212
Gary Bell,842,213
Jack Coombs,841,214
Jose DeLeon,841,215
Red Ehret,841,216
Dazzy Vance,840,217
Thornton Lee,838,218
Mickey McDermott,838,219
Milt Gaston,836,220
Sid Hudson,835,221
Fritz Ostermueller,835,222
Bob Forsch,832,223
Andy Messersmith,831,224
Randy Wolf,831,225
Bill Dinneen,829,226
Lefty Tyler,829,227
Eddie Cicotte,827,228
Dave McNally,826,229
Larry Jackson,824,230
Jim Lonborg,823,231
Mike Cuellar,822,232
Sam Jones,822,233
Frank Killen,822,234
Larry French,819,235
Charlie Morton,819,236
Sandy Koufax,817,237
Hippo Vaughn,817,238
Danny Jackson,816,239
Francisco Liriano,816,240
Todd Stottlemyre,816,241
Gio Gonzalez,815,242
John Lackey,815,243
Fred Norman,815,244
Joe McGinnity,812,245
Jim Maloney,810,246
George Earnshaw,809,247
Mel Stottlemyre,809,248
Chris Short,806,249
Wilson Alvarez,805,250
Felix Hernández,805,251
Rick Wise,804,252
Rube Waddell,803,253
Stan Coveleski,802,254
Rick Rhoden,801,255
Alvin Crowder,800,256
Burt Hooton,799,257
Tony Cloninger,798,258
Aaron Sele,798,259
Kid Carsey,796,260
Earl Wilson,796,261
Ramon Martinez,795,262
Mike McCormick,795,263
Derek Lowe,794,264
Jason Schmidt,792,265
Bob Rush,789,266
Blue Moon Odom,788,267
Mark Gubicza,786,268
Diego Segui,786,269
Mike Mussina,785,270
Doug Davis,783,271
Bob Groom,783,272
Bill Singer,781,273
Paul Splittorff,780,274
Bill Hallahan,779,275
Edwin Jackson,779,276
Ed Brandt,778,277
John Denny,778,278
Hoyt Wilhelm,778,279
Joe Nuxhall,776,280
Ervin Santana,776,281
Pat Hentgen,775,282
Clark Griffith,774,283
J.R. Richard,770,284
Milt Wilcox,770,285
Tom Griffin,769,286
Earl Hamilton,769,287
Jason Marquis,769,288
Cole Hamels,767,289
Mike Krukow,767,290
Dick Ruthven,767,291
Ray Burris,764,292
Frank Dwyer,764,293
Javier Vazquez,763,294
Dave Burba,762,295
Zack Greinke,762,296
Bob Harmon,762,297
Oliver Pérez,762,298
Paul Derringer,761,299
Pedro Martinez,760,300
Mel Parnell,758,301
Johnny Schmitz,757,302
Max Scherzer,756,303
Matt Kilroy,754,304
Win Mercer,754,305
Ray Culp,752,306
Jack Billingham,750,307
Jim McCormick,749,308
Rip Sewell,748,309
Walt Terrell,748,310
Stan Williams,748,311
Alex Kellner,747,312
James Shields,746,313
Howie Pollet,745,314
Pud Galvin,744,315
Johnny Podres,743,316
Sheriff Blake,740,317
Richard Dotson,740,318
Bruce Hurst,740,319
Monte Pearson,740,320
Dean Chance,739,321
Dutch Ruether,739,322
Eddie Smith,739,323
Lon Warneke,739,324
Johnny Allen,738,325
Ray Caldwell,738,326
Dennis Eckersley,738,327
Dutch Leonard,737,328
Jack Sanford,737,329
Adam Wainwright,736,330
Denny Galehouse,735,331
Chuck Stobbs,735,332
Edinson Volquez,735,333
Mark Buehrle,734,334
Carl Mays,734,335
Togie Pittinger,734,336
Shane Rawley,734,337
Al Benton,733,338
Larry Cheney,733,339
Rich Gossage,732,340
Ed Stein,732,341
Joaquin Andujar,731,342
Ron Kline,731,343
Claude Passeau,728,344
Vic Raschi,727,345
Pedro Astacio,726,346
Carl Hubbell,725,347
Mike LaCoss,725,348
Don Larsen,725,349
Jeff Fassero,724,350
Pedro Ramos,724,351
Eddie Rommel,724,352
Wilbur Wood,724,353
Jim Bibby,723,354
Jon Garland,723,355
Mike Boddicker,721,356
Harry Gumbert,721,357
Darren Oliver,720,358
Mike Garcia,719,359
David Wells,719,360
Pete Harnisch,716,361
Steve Stone,716,362
Sid Fernandez,715,363
George Haddock,714,364
Bill Wight,714,365
Clay Kirby,713,366
Mike Witt,713,367
Chief Bender,712,368
Rube Benton,712,369
Aaron Harang,712,370
Tommy Thomas,712,371
Matt Cain,711,372
Larry Dierker,711,373
Curt Schilling,711,374
Woody Williams,711,375
Yovani Gallardo,710,376
Juan Marichal,709,377
Freddy Garcia,708,378
Jake Peavy,708,379
Elden Auker,706,380
Gary Peters,706,381
Vic Sorrell,706,382
Phil Knell,705,383
Pat Malone,705,384
Doug Drabek,704,385
Bill Hart,704,386
Lance Lynn,704,387
Jim Rooker,703,388
Moe Drabowsky,702,389
Fred Frankhouse,701,390
Willie McGill,701,391
Nap Rucker,701,392
John Burkett,700,393
Elam Vangilder,699,394
Ed Whitson,698,395
Claude Hendrix,697,396
Ken Chase,694,397
Kyle Lohse,694,398
Sonny Siebert,692,399
Larry Benton,691,400
George Hemming,691,401
Jack Chesbro,690,402
Red Donahue,690,403
Cy Falkenberg,690,404
Clayton Kershaw,690,405
Jaime Navarro,690,406
Dixie Davis,688,407
Jorge De La Rosa,688,408
Jim Shaw,688,409
Johnny Antonelli,687,410
Storm Davis,687,411
Si Johnson,687,412
Scott Kazmir,687,413
Firpo Marberry,686,414
Aníbal Sánchez,686,415
Billy Hoeft,685,416
Omar Olivares,685,417
Phil Marchildon,684,418
